Objektbez,Jahr,namident,sprcode,Geschlecht,gebjahr,todjahr,ausstellungen,events,performances,literatur,rating,NATIONALITAET
Ölmalerei,1932,"Hügin, Karl Otto",DEU,M,1887,1963,36,0,0,47,***,CH
Ölmalerei,1925,"Hügin, Karl Otto",DEU,M,1887,1963,36,0,0,47,***,CH
"peinture à l'huile",1803,"Meuron, Maximilien de",FRA,M,1785,1868,15,0,0,42,****,CH
Ölmalerei,1911,"Huber, Hermann",DEU,M,1888,1967,62,0,0,77,****,CH
Ölmalerei,1922,"Huber, Hermann",DEU,M,1888,1967,62,0,0,77,****,CH
Ölmalerei,,"Huber, Hermann",DEU,M,1888,1967,62,0,0,77,****,CH
Ölmalerei,,"Huber, Hermann",DEU,M,1888,1967,62,0,0,77,****,CH
Ölmalerei,1943,"Huber, Hermann",DEU,M,1888,1967,62,0,0,77,****,CH
Zeichnung,1930,"Huber, Hermann",DEU,M,1888,1967,62,0,0,77,****,CH
Ölmalerei,1971,"Fedier, Franz",DEU,M,1922,2005,81,0,0,87,****,CH
Mischtechnik,1977,"Fedier, Franz",DEU,M,1922,2005,81,0,0,87,****,CH
"Foto Art",1993,"Huber, Felix Stephan",DEU,M,1957,,45,1,0,44,***,CH
Ölmalerei,1930,"Kämpf, Max",DEU,M,1912,1982,30,0,0,45,***,CH
Ölmalerei,1943,"Kämpf, Max",DEU,M,1912,1982,30,0,0,45,***,CH
"pittura ad olio",1959,"Salvioni, Alberto",ITA,M,1915,1987,10,0,0,16,***,CH
"pittura ad olio",1945,"Salvioni, Alberto",ITA,M,1915,1987,10,0,0,16,***,CH
Zeichnung,,"Stückelberg, Ernst",DEU,M,1831,1903,24,0,0,59,****,CH
Bronzeplastik,1950,"Gubler, Thomas Ernst",DEU,M,1895,1958,11,2,0,17,***,CH
Bronzeplastik,1920,"Gubler, Thomas Ernst",DEU,M,1895,1958,11,2,0,17,***,CH
Bronzeplastik,1955,"Gubler, Thomas Ernst",DEU,M,1895,1958,11,2,0,17,***,CH
Plastik,,"Gubler, Thomas Ernst",DEU,M,1895,1958,11,2,0,17,***,CH
Holzrelief,1965,"Raetz, Markus",DEU,M,1941,,256,0,0,385,*****,CH
Objektkunst,1984,"Raetz, Markus",DEU,M,1941,,256,0,0,385,*****,CH
Temperamalerei,1958,"Sekula, Sonja",DEU,F,1918,1963,22,0,0,21,****,"CH, USA"
Mischtechnik,1956,"Sekula, Sonja",DEU,F,1918,1963,22,0,0,21,****,"CH, USA"
Gouache,1958,"Sekula, Sonja",DEU,F,1918,1963,22,0,0,21,****,"CH, USA"
Gouache,1954,"Sekula, Sonja",DEU,F,1918,1963,22,0,0,21,****,"CH, USA"
"peinture à l'huile",1795,"Brun, Louis-Auguste",FRA,M,1758,1815,7,0,0,19,***,"CH, F"
Mischtechnik,1979,"Emch, Peter",DEU,M,1945,,62,0,4,43,***,CH
Ölmalerei,1998,"Fehr, Marc-Antoine",DEU,M,1953,,57,0,0,54,****,CH
Gouache,1998,"Fehr, Marc-Antoine",DEU,M,1953,,57,0,0,54,****,CH
Fotografie,1975,"Villiger, Hannah",DEU,F,1951,1997,68,0,0,88,****,CH
grafica,1953,"Bianconi, Giovanni",ITA,M,1891,1981,26,0,0,29,***,CH
grafica,1962,"Bianconi, Giovanni",ITA,M,1891,1981,26,0,0,29,***,CH
Ölmalerei,1938,"Wyler, Otto",DEU,M,1887,1965,24,0,0,30,***,CH
Ölmalerei,1908,"Wyler, Otto",DEU,M,1887,1965,24,0,0,30,***,CH
Ölmalerei,1906,"Wyler, Otto",DEU,M,1887,1965,24,0,0,30,***,CH
Ölmalerei,1816,"Reinhard, Josef",DEU,M,1749,1824,17,0,0,63,****,CH
Ölmalerei,1772,"Reinhard, Josef",DEU,M,1749,1824,17,0,0,63,****,CH
Ölmalerei,1796,"Reinhard, Josef",DEU,M,1749,1824,17,0,0,63,****,CH
Ölmalerei,1788,"Reinhard, Josef",DEU,M,1749,1824,17,0,0,63,****,CH
Ölmalerei,1767,"Reinhard, Josef",DEU,M,1749,1824,17,0,0,63,****,CH
Ölmalerei,1809,"Reinhard, Josef",DEU,M,1749,1824,17,0,0,63,****,CH
Ölmalerei,1792,"Reinhard, Josef",DEU,M,1749,1824,17,0,0,63,****,CH
Ölmalerei,1788,"Reinhard, Josef",DEU,M,1749,1824,17,0,0,63,****,CH
Plastik,1914,"Müller, Heinrich Anton",DEU,M,1869,1930,13,0,0,17,****,CH
"peinture à l'huile",1785,"Locher, Gottfried",FRA,M,1735,1795,5,0,0,19,***,CH
"peinture à l'huile",,"Burnand, Charles-Louis-Eugène",FRA,M,1850,1921,30,0,0,62,****,CH
Zeichnung,1868,"Burnand, Charles-Louis-Eugène",FRA,M,1850,1921,30,0,0,62,****,CH
Ölmalerei,1789,"Hess, Ludwig (Louis)",DEU,M,1760,1800,14,0,0,33,***,CH
Ölmalerei,1786,"Hess, Ludwig (Louis)",DEU,M,1760,1800,14,0,0,33,***,CH
Mischtechnik,1797,"Hess, Ludwig (Louis)",DEU,M,1760,1800,14,0,0,33,***,CH
Ölmalerei,1784,"Hess, Ludwig (Louis)",DEU,M,1760,1800,14,0,0,33,***,CH
Ölmalerei,1787,"Hess, Ludwig (Louis)",DEU,M,1760,1800,14,0,0,33,***,CH
Ölmalerei,1961,"Moser, Wilfrid",DEU,M,1914,1997,105,0,0,90,****,CH
Mischtechnik,1965,"Moser, Wilfrid",DEU,M,1914,1997,105,0,0,90,****,CH
Radierung,1925,"Pauli, Fritz Eduard",DEU,M,1891,1968,74,0,0,83,****,CH
Ölmalerei,1925,"Pauli, Fritz Eduard",DEU,M,1891,1968,74,0,0,83,****,CH
Ölmalerei,1946,"Pauli, Fritz Eduard",DEU,M,1891,1968,74,0,0,83,****,CH
Radierung,1925,"Pauli, Fritz Eduard",DEU,M,1891,1968,74,0,0,83,****,CH
peinture,1806,"Saint-Ours, Jean-Pierre",FRA,M,1752,1809,15,0,0,40,*****,"CH, F"
Ölmalerei,1921,"Borgeaud, Marius Etienne François",FRA,M,1861,1924,17,0,0,36,****,CH
"peinture à l'huile",1913,"Borgeaud, Marius Etienne François",FRA,M,1861,1924,17,0,0,36,****,CH
"peinture à l'huile",1908,"Borgeaud, Marius Etienne François",FRA,M,1861,1924,17,0,0,36,****,CH
"peinture à l'huile",1912,"Borgeaud, Marius Etienne François",FRA,M,1861,1924,17,0,0,36,****,CH
Ölmalerei,1916,"Morach, Otto",DEU,M,1887,1973,68,0,0,88,****,CH
Ölmalerei,1915,"Morach, Otto",DEU,M,1887,1973,68,0,0,88,****,CH
Ölmalerei,1918,"Morach, Otto",DEU,M,1887,1973,68,0,0,88,****,CH
Ölmalerei,1927,"Morach, Otto",DEU,M,1887,1973,68,0,0,88,****,CH
